date ,open, highest ,lowest, close ,amout, vol ,str07
20160309,2839.41,2863.01,2811.72,2862.56,17707255398,183355383,61472871
20160310,2847.57,2863.18,2803.48,2804.73,14181241651,138979461,61145197
20160311,2781.6,2815.61,2772.55,2810.31,12845031424,127247554,34341343
20160314,2830.08,2889.82,2823.03,2859.5,20279314022,194816030,1311747
20160315,2853.98,2865.79,2819.79,2864.37,17021952000,163386667,45809988
20160316,2858.71,2881.53,2854.19,2870.43,19019386061,186492535,51642618
20160317,2875.41,2921,2857.19,2904.83,21384364032,200290213,1901562
20160318,2915.52,2971.55,2908.74,2955.15,32824115200,313332735,2163698
20160321,2978.46,3028.32,2973.76,3018.8,38082307686,352400438,852994
20160322,3001.63,3019.1,2988.43,2999.36,31102530355,270377322,47710516
20160323,2991.17,3012.56,2980.86,3009.96,25632815514,216977462,20513464
20160324,2986.8,2998.15,2960.54,2960.97,27479511859,237006403,56492204
20160325,2956.2,2981.41,2952.11,2979.43,20081844224,175074344,15008534
20160328,2988.01,3008.17,2948.53,2957.82,23232372736,202021241,46268723
20160329,2956.71,2962.2,2905.25,2919.83,20162582938,182965345,55967918
20160330,2941.22,3001.11,2941.22,3000.65,23441062298,210371451,394245
20160331,3009.37,3023.41,2992.92,3003.92,25221975245,220413445,32244228
20160401,2997.09,3009.67,2956.25,3009.53,21752053760,206545866,40173955
20160405,3000.94,3057.33,2993.15,3053.07,27665468621,256730344,1967069
20160406,3039.74,3059.79,3029,3050.59,25491456000,232262051,32571887
20160407,3058.34,3062.36,3007.06,3008.42,24396180685,220919506,56688793
20160408,2988.2,2996.17,2960.46,2984.96,20733709517,187904633,49152264
20160411,3006.91,3048.98,3006.91,3033.96,25232839475,220018324,2950098
20160412,3031.3,3036.82,3001.32,3023.65,20707980083,182718668,45154626
20160413,3041.36,3097.16,3041.36,3066.64,33142069658,310003246,7996295
20160414,3080.09,3086.7,3056.99,3082.36,23505605427,208237830,12124986
20160415,3085.03,3089.95,3066.87,3078.12,22414131200,189613051,38011310
20160418,3058.46,3058.46,3022.97,3033.66,20861308109,183304512,56230062
20160419,3047.13,3054.5,3024.9,3042.82,18094800896,156533200,22938246
20160420,3050.38,3055.69,2905.05,2972.58,31115486822,283144219,63045706
20160421,2954.37,2990.67,2943.46,2952.89,20647713178,189406849,50725121
20160422,2933.03,2960.21,2926.78,2959.24,14880043827,137211668,17171170
20160425,2949.97,2954.09,2917.02,2946.67,14063874867,125856243,43909469
20160426,2944.72,2965.43,2933.97,2964.7,13429245542,117711604,10421074
20160427,2967.19,2976.02,2949.43,2953.67,15028630323,130867640,42402160
20160428,2955.74,2959.51,2916.37,2945.59,15461469389,138663274,46399799
20160429,2935.38,2950.58,2930.36,2938.32,12850273485,109310628,37945756
20160503,2940.39,2993.53,2929.81,2992.64,19581660365,168703643,1508349
20160504,2983.03,3004.42,2978.33,2991.27,18904637440,165407106,37159352
20160505,2987.02,2999.12,2977.2,2997.84,16311377920,144831383,24248925
20160506,2998.4,3003.59,2913.04,2913.25,23407743795,206796498,65667118
20160509,2896.16,2896.16,2821.83,2832.11,18870568550,180378330,64094280
20160510,2822.33,2845.24,2820.16,2832.59,12853526528,120829310,31654405
20160511,2843.54,2857.25,2818.7,2837.04,14602251469,135795466,44433744
20160512,2812.11,2839.28,2781.24,2835.86,14083863347,136337655,44826963
20160513,2828.46,2850.09,2814.11,2827.11,12369264640,114319710,42271077
20160516,2816.78,2851.23,2804.99,2850.86,12684429722,114653592,4850620
20160517,2850.93,2860.32,2832.46,2843.68,14000100147,123369064,46989608
20160518,2828.18,2828.26,2781.42,2807.51,14939681587,140487826,62980174
20160519,2802.31,2829.4,2801.55,2806.91,12415105434,111595071,27656761
20160520,2792.89,2825.95,2785.08,2825.48,12379459584,108700899,10617692
20160523,2826.31,2848.07,2826.26,2843.65,13995035853,120470455,5047220
20160524,2839.68,2839.7,2807.19,2821.67,12109606093,111452445,55509186
20160525,2835.03,2843.17,2807.75,2815.09,11776762675,103527265,42336601
20160526,2813.54,2827.09,2780.76,2822.44,12710517965,114766797,27591227
20160527,2817.97,2832.8,2809.8,2821.05,12385886208,109845823,34210254
20160530,2814.65,2830.97,2794.66,2822.45,11558748160,106319589,45875519
20160531,2822.59,2917.14,2822.59,2916.62,23652850074,215260341,132129
20160601,2917.15,2929.08,2909.51,2913.51,21986805350,188386421,28901922
20160602,2911.22,2925.67,2906.52,2925.23,18508490342,159716916,14746361
20160603,2929.79,2945.52,2915.19,2938.68,21130248192,172021023,28049986
20160606,2940.99,2945.94,2922.28,2934.1,17242678886,141993742,36962749
20160607,2936.28,2938.44,2923.5,2936.04,16360561050,132987867,37880248
20160608,2932.38,2937.99,2908.37,2927.16,17737731277,143046071,47186225
20160613,2897.27,2911.16,2832.51,2833.07,19854776730,169255434,66846764
20160614,2824.23,2843.46,2822.06,2842.19,13853174989,119755274,24052354
20160615,2814.69,2894.26,2811.78,2887.21,19719933133,166671069,656417
20160616,2878.4,2887.74,2865.39,2872.82,20195716301,173882767,46924113
20160617,2873.01,2900.3,2872.18,2885.11,19543249715,171472517,18547448
20160620,2887.64,2891.66,2864.02,2888.81,16373443789,136571051,36176342
20160621,2898.38,2919.3,2869.18,2878.56,19820191744,164359089,49676562
20160622,2872.73,2905.98,2869.51,2905.55,15633938842,130590424,6095800
20160623,2902.4,2904.11,2878.66,2891.96,16368027238,136137375,48890145
20160624,2883.76,2899.57,2807.6,2854.29,21491344998,190842609,58654881
20160627,2840.56,2895.73,2840.28,2895.7,18985472819,156697472,2294777
20160628,2885.01,2913.58,2878.82,2912.56,21107929907,173871047,14025496
20160629,2918.53,2934,2915.06,2931.59,22340635853,193215586,27460190
20160630,2931.48,2938.14,2922.31,2929.61,18745979699,154464930,35717588
20160701,2931.8,2944.99,2925.81,2932.48,17300619264,141246227,37355957
20160704,2924.29,2992.5,2922.52,2988.6,25315036365,222017132,2032643
20160705,2991.75,3010.27,2990.64,3006.39,27041801830,235204450,22151853
20160706,2998.52,3017.65,2984.83,3017.29,24649783706,212370920,28836422
20160707,3009.35,3024.11,2994.64,3016.85,27019712922,222681667,36110820
20160708,3000.33,3001.55,2983.88,2988.09,20967266714,168986859,46465342
20160711,2993.75,3022.94,2990.91,2994.92,27191649894,224338224,38797738
20160712,2992.52,3049.68,2984.42,3049.38,28865675264,259486295,12387167
20160713,3049.51,3069.05,3048.2,3060.69,27935087002,253659384,21496511
20160714,3054.97,3057.05,3036.52,3054.02,20893902438,180194804,38207928
20160715,3056.68,3062.68,3044.54,3054.3,20284055552,172866398,40960407
20160718,3047.64,3058.32,3031.64,3043.56,20666771046,177496562,47382857
20160719,3040.23,3043.6,3014.29,3036.6,18720672973,155361466,27853399
20160720,3034.71,3043,3022.63,3027.9,17147291238,138242815,40173979
20160721,3027.6,3053.33,3027.37,3039.01,20027845837,163767370,27001433
20160722,3038.12,3039.27,3007.46,3012.82,19751734477,162010181,55836869
20160725,3008.09,3027.12,3003.29,3015.83,17542199706,144206582,28443210
20160726,3014.04,3050.61,3013.8,3050.17,18547446579,156694506,5768144
20160727,3050.37,3057.42,2939.23,2992,31681137869,280160915,63635558
20160728,2980.5,3003.36,2968.18,2994.32,21762700083,190564950,32702997
20160729,2992.54,3000.05,2972.92,2979.34,17019856486,150101534,49348900
20160801,2971.95,2972.88,2931.96,2953.39,16237268173,147407763,54788325
20160802,2950.08,2971.28,2946.64,2971.28,12926687642,115468900,8848280
20160803,2963.21,2981.16,2956.79,2978.46,15908826317,141141332,22348477
20160804,2976.41,2982.86,2958.93,2982.43,15330797158,133933301,25363078
20160805,2978.78,2991.68,2971.56,2976.7,16179598131,141857101,46006604
20160808,2972.62,3004.72,2959.05,3004.28,17208965530,155729833,10748815
20160809,3001.31,3025.91,2998.68,3025.68,18771686195,169995446,12976972
20160810,3023.47,3033.2,3017.09,3018.75,18452517683,164675165,47776068
20160811,3013.68,3038.05,3001.17,3002.64,17986152038,161879481,61931653
20160812,3000.27,3051.05,2999.04,3050.67,17930489037,168173657,6423513
20160815,3056.48,3137.48,3053.87,3125.2,32799113216,297616506,787512
20160816,3130.53,3140.44,3102.07,3110.04,30854486426,278328934,24117930
20160817,3106.99,3114.25,3090.28,3109.55,24340525875,213839637,32571948
20160818,3107.75,3125.58,3093.32,3104.11,25696967066,229359081,38928836
20160819,3100.39,3113.34,3082.77,3108.1,21205096858,194347453,37355993
20160822,3107.38,3112.74,3083.59,3084.81,20763887206,185387927,54722804
20160823,3081.57,3101.11,3073.53,3089.71,17918348493,161368965,29753930
20160824,3092.02,3097.15,3079.55,3085.88,16836252467,145707440,36241898
20160825,3073.44,3073.44,3041.51,3068.33,20085974630,174032980,52822293
20160826,3069.85,3087.65,3063.89,3070.31,17630950195,149663901,25297534
20160829,3068.46,3074.94,3058.79,3070.03,16639734579,144500007,27591267
20160830,3071.44,3082.99,3065.97,3074.68,16387883008,140434811,36766163
20160831,3072.92,3087.7,3063.4,3085.49,16898611610,141368609,28705352
20160901,3083.96,3088.7,3062.88,3063.31,17709329613,155191093,55902423
20160902,3057.49,3072.53,3050.49,3067.35,17059214131,150446920,38207938
20160905,3070.71,3085.49,3065.33,3072.1,16124367667,144963317,23462550
20160906,3071.06,3095.51,3053.19,3090.71,19305773466,172908524,7537602
20160907,3091.33,3105.68,3087.88,3091.93,20716211405,186956763,36569563
20160908,3089.95,3096.78,3083.9,3095.95,16594447565,145883771,27394658
20160909,3095.43,3101.79,3078.22,3078.85,18205623910,160692924,54460651
20160912,3037.51,3040.95,2999.93,3021.98,22184656896,206012086,65273947
20160913,3025.03,3029.72,3008.74,3023.51,15279130214,135387580,20120305
20160914,3008.9,3017.94,2995.42,3002.85,14814897766,133413401,47513941
20160919,3005.32,3026.65,3005.32,3026.05,13316882432,119225027,7144375
20160920,3027.17,3027.82,3015.88,3023,13966229504,118924117,40567209
20160921,3021.58,3032.45,3017.54,3025.87,13413372723,115721213,28050014
20160922,3038.42,3054.44,3035.07,3042.31,15903106662,139309554,19989199
20160923,3044.79,3046.8,3032.8,3033.9,14737773363,125590976,45089141
20160926,3028.24,3028.24,2980.12,2980.43,16225724006,144330286,66256980
20160927,2974.59,2998.23,2969.13,2998.17,13337270682,121701450,13828957
20160928,3000.7,3000.7,2984.32,2987.86,11643737702,104625697,46137701
20160929,2992.17,3009.2,2991.91,2998.48,12272857088,113213919,23397009
